"indic_ur,cities\time","2019 ","2018 ","2017 ","2016 ","2015 ","2014 ","2013 ","2012 ","2011 ","2010 ","2009 ","2008 ","2007 ","2006 ","2005 ","2004 ","2003 ","2002 ","2001 ","2000 ","1999 ","1998 ","1997 ","1996 ","1995 ","1994 ","1993 ","1992 ","1991 ","1990 "
"EN1002V,BE",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","5.40 ","4.10 ","4.00 ","3.80 ","4.40 ","3.60 ","4.70 ","4.30 ","4.50 ","4.20 ","3.90 ","4.10 ","4.60 ",": "
"EN1002V,CY",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","8.70 ","9.00 ","8.90 ","9.20 ",": ",": ",": ","9.10 ",": ",": ",": ",": ",": ",": "
"EN1002V,CZ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","4.70 ",": ",": ",": ","4.90 ",": ",": ","5.00 ",": ",": ",": ",": ",": ","4.00 ",": ",": ",": ",": ",": "
"EN1002V,ES",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",7.40 e,7.34 e,7.26 e,7.41 e,7.00 e,": ",": ",": ",": ",": ",": ",": "
"EN1002V,HU",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",5.80 e,": ",": ",": ",": ",": ","5.06 ","5.44 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN1002V,PT",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",7.30 e,": ",": ",": ",": ",": ",": ",": ","7.40 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN1002V,SE",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","4.90 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","4.48 "
"EN1002V,SK",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","5.46 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN1003V,BE",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","20.40 ","18.60 ","19.20 ","18.40 ","19.70 ","17.40 ","21.20 ","17.30 ","20.90 ","21.80 ","16.70 ","18.40 ","19.00 ",": "
"EN1003V,CY",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","27.40 ","27.40 ","27.20 ","28.30 ",": ",": ",": ","26.70 ",": ",": ",": ",": ",": ",": "
"EN1003V,CZ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","17.90 ",": ",": ",": ","18.00 ",": ",": ","19.00 ",": ",": ",": ",": ",": ","20.00 ",": ",": ",": ",": ",": "
"EN1003V,EE",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","19.10 ","20.50 ","16.30 ","18.80 ","16.00 ","18.40 ","15.00 ","15.90 ","19.00 ","15.90 ",": ",": ",": "
"EN1003V,ES",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","22.60 ","24.10 ","23.30 ","23.90 ","24.10 ","23.30 ",": ",": ",": ",": ",": ",": ",": "
"EN1003V,HU",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",21.00 e,": ",": ",": ",": ",": ","23.80 ","22.90 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN1003V,LT",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","20.00 ","19.90 ","20.70 ","16.00 ","19.60 ","16.00 ","18.40 ","18.30 ","17.70 ","20.20 ","15.90 ","18.50 ",": ",": "
"EN1003V,PT",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",21.40 e,": ",": ",": ",": ",": ",": ","23.70 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN1003V,SE",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","18.30 ",": ",": ",": ",": ","18.30 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN1003V,SI",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","19.89 ","17.98 ","19.31 ","19.68 ","18.19 ",": ",": ",": ",": ",": ",": ",": "
"EN1003V,SK",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","19.90 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN1004V,BE",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","2.30 ","4.60 ","3.40 ","4.00 ","3.10 ","4.40 ","-0.20 ","1.30 ","4.00 ","2.80 ","2.20 ","2.60 ","0.00 ",": "
"EN1004V,CY",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","8.00 ","8.00 ","10.40 ","8.90 ",": ",": ",": ","10.20 ",": ",": ",": ",": ",": ",": "
"EN1004V,CZ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","0.70 ",": ",": ",": ","-3.90 ",": ",": ","-2.00 ",": ",": ",": ",": ",": ","-3.00 ",": ",": ",": ",": ",": "
"EN1004V,EE",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","-2.40 ","-1.40 ","-2.50 ","-4.00 ","-0.80 ","-3.70 ","-7.00 ","-4.00 ","-2.80 ","-1.30 ",": ",": ",": "
"EN1004V,ES",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","9.10 ","6.60 ","6.40 ","8.10 ","7.80 ","8.60 ",": ",": ",": ",": ",": ",": ",": "
"EN1004V,HU",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",0.90 e,": ",": ",": ",": ",": ","0.10 ","-4.30 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN1004V,LT",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","-5.60 ","-7.90 ","-5.60 ","-2.20 ","-3.70 ","-4.10 ","-3.80 ","-8.00 ","-6.30 ","-7.70 ","-4.10 ","-0.60 ",": ",": "
"EN1004V,PT",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",8.60 e,": ",": ",": ",": ",": ",": ","7.60 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN1004V,SE",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","-8.60 ",": ",": ",": ",": ","-8.60 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN1004V,SI",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","2.29 ","-2.50 ","0.13 ","2.13 ","-0.33 ",": ",": ",": ",": ",": ",": ",": "
"EN1004V,SK",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","-3.20 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN1005V,BE",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","671.00 ","1078.00 ","1089.00 ","852.00 ","886.00 ","948.00 ","701.00 ","745.00 ","763.00 ","895.00 ","857.00 ","917.00 ","794.00 ",": "
"EN1005V,CY",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","536.20 ","474.00 ","536.10 ","543.40 ",": ",": ",": ","465.80 ",": ",": ",": ",": ",": ",": "
"EN1005V,CZ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","619.00 ",": ",": ",": ","680.00 ",": ",": ","606.00 ",": ",": ",": ",": ",": ","566.00 ",": ",": ",": ",": ",": "
"EN1005V,ES",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","720.00 ","670.00 ","717.00 ","628.00 ","541.00 ","837.00 ","893.00 ","605.00 ","553.00 ","617.00 ","628.00 ",": ",": "
"EN1005V,HU",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",607.00 e,": ",": ",": ",": ",": ","494.00 ","560.00 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN1005V,LT",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","627.00 ","627.00 ","755.00 ","625.00 ","640.00 ","833.00 ","668.00 ","512.00 ","685.00 ","706.00 ","705.00 ","579.00 ",": ",": "
